diseaseId	diseaseName	diseaseType	diseaseClass	diseaseSemanticType	NofSNPs	NofPmids
C0005833	Blood Sedimentation	phenotype		Laboratory Procedure	8	3
C0005845	Blood urea nitrogen measurement	phenotype		Laboratory Procedure	174	5
C0005848	Blood Viscosity	phenotype		Physiologic Function	1	1
C0005859	Bloom Syndrome	disease	C16;C18;C20	Disease or Syndrome	132	55
C0005874	Blushing	phenotype	F01	Sign or Symptom	1	1
C0005890	Body Height	phenotype		Organism Attribute	3972	34
C0005893	Body mass index procedure	phenotype		Diagnostic Procedure	252	33
C0005904	Body Temperature Changes	phenotype	C23	Sign or Symptom	1	1
C0005910	Body Weight	phenotype	C23	Organism Attribute	92	10
C0005937	Bone Cysts	disease	C04;C05	Anatomical Abnormality	4	2
C0005938	Bone Density	phenotype		Clinical Attribute	654	27
C0005940	Bone Diseases	group	C05	Disease or Syndrome	10	8
C0005941	Bone Diseases, Developmental	group	C05	Disease or Syndrome	2	1
C0005944	Metabolic Bone Disorder	group	C18;C05	Disease or Syndrome	1	1
C0005956	Bone Marrow Diseases	group	C15	Disease or Syndrome	3	2
C0005967	Bone neoplasms	group	C04;C05	Neoplastic Process	4	4
C0006009	Borderline intellectual disability	disease	C23;C10;F03;F01	Mental or Behavioral Dysfunction	3	0
C0006012	Borderline Personality Disorder	disease	F03	Mental or Behavioral Dysfunction	82	59
C0006060	Boutonneuse Fever	disease	C01	Disease or Syndrome	3	1
C0006105	Brain Abscess	disease	C01;C10	Disease or Syndrome	1	1
C0006111	Brain Diseases	group	C10	Disease or Syndrome	10	5
C0006118	Brain Neoplasms	group	C04;C10	Neoplastic Process	204	85
C0006142	Malignant neoplasm of breast	disease	C04;C17	Neoplastic Process	3417	2229
C0006145	Breast Diseases	group	C17	Disease or Syndrome	6	4
C0006157	Breech Presentation	phenotype	C13	Pathologic Function	11	0
C0006160	Brenner Tumor	disease	C04;C13;C19	Neoplastic Process	1	1
C0006267	Bronchiectasis	disease	C08	Disease or Syndrome	15	5
C0006271	Bronchiolitis	disease	C01;C08	Disease or Syndrome	32	23
C0006272	Bronchiolitis Obliterans	disease	C08	Disease or Syndrome	5	4
C0006277	Bronchitis	disease	C01;C08	Disease or Syndrome	4	2
C0006287	Bronchopulmonary Dysplasia	disease	C16;C08	Disease or Syndrome	112	71
C0006309	Brucellosis	disease	C01	Disease or Syndrome	30	19
C0006325	Bruxism	phenotype	C07	Mental or Behavioral Dysfunction	9	1
C0006370	Bulimia	disease	C23	Mental or Behavioral Dysfunction	30	14
C0006413	Burkitt Lymphoma	disease	C04;C01;C20;C15	Neoplastic Process	13	5
C0006430	Burning Mouth Syndrome	disease	C07	Disease or Syndrome	1	1
C0006625	Cachexia	phenotype	C23	Sign or Symptom	11	7
C0006664	Calcinosis cutis	disease	C18	Disease or Syndrome	1	0
C0006705	Calcium Metabolism Disorders	group	C18	Disease or Syndrome	1	2
C0006826	Malignant Neoplasms	group	C04	Neoplastic Process	1641	1814
C0006840	Candidiasis	disease	C01	Disease or Syndrome	8	6
C0006845	Candidiasis, Chronic Mucocutaneous	disease	C01;C17	Disease or Syndrome	3	10
C0006846	Cutaneous Candidiasis	disease	C01;C17	Disease or Syndrome	2	1
C0006849	Oral candidiasis	disease	C01;C07	Disease or Syndrome	2	2
C0006868	Cannabis Abuse	disease	C25;F03	Mental or Behavioral Dysfunction	8	5
C0006870	Cannabis Dependence	disease	C25;F03	Mental or Behavioral Dysfunction	13	12
C0007095	Carcinoid Tumor	phenotype	C04	Neoplastic Process	3	2
C0007097	Carcinoma	group	C04	Neoplastic Process	103	94
C0007102	Malignant tumor of colon	disease	C06;C04	Neoplastic Process	688	257
C0007103	Malignant neoplasm of endometrium	disease	C04;C13	Neoplastic Process	197	139
C0007104	Female Breast Carcinoma	disease	C04;C17	Neoplastic Process	15	10
C0007107	Malignant neoplasm of larynx	disease	C04;C08;C09	Neoplastic Process	50	37
C0007112	Adenocarcinoma of prostate	disease	C04;C12	Neoplastic Process	108	8
C0007113	Rectal Carcinoma	disease	C06;C04	Neoplastic Process	112	83
C0007114	Malignant neoplasm of skin	disease	C04;C17	Neoplastic Process	38	31
C0007115	Malignant neoplasm of thyroid	disease	C04;C19	Neoplastic Process	103	149
C0007117	Basal cell carcinoma	disease	C04	Neoplastic Process	109	10
C0007120	Bronchioloalveolar Adenocarcinoma	disease	C04	Neoplastic Process	5	2
C0007121	Bronchogenic Carcinoma	disease	C04;C08	Neoplastic Process	1	1
C0007124	Noninfiltrating Intraductal Carcinoma	disease	C04	Neoplastic Process	13	4
C0007129	Merkel cell carcinoma	disease	C04;C01	Neoplastic Process	10	5
C0007130	Mucinous Adenocarcinoma	disease	C04	Neoplastic Process	10	5
C0007131	Non-Small Cell Lung Carcinoma	disease	C04;C08	Neoplastic Process	712	1148
C0007133	Carcinoma, Papillary	disease	C04	Neoplastic Process	9	14
C0007134	Renal Cell Carcinoma	disease	C04;C13;C12	Neoplastic Process	288	132
C0007137	Squamous cell carcinoma	disease	C04	Neoplastic Process	257	164
C0007138	Carcinoma, Transitional Cell	disease	C04	Neoplastic Process	12	9
C0007140	Carcinosarcoma	disease	C04	Neoplastic Process	6	2
C0007177	Cardiac Tamponade	disease	C14	Disease or Syndrome	1	1
C0007193	Cardiomyopathy, Dilated	group	C14	Disease or Syndrome	509	338
C0007194	Hypertrophic Cardiomyopathy	disease	C14	Disease or Syndrome	635	811
C0007196	Restrictive cardiomyopathy	disease	C14	Disease or Syndrome	30	39
C0007222	Cardiovascular Diseases	group	C14	Disease or Syndrome	711	441
C0007273	Carotid Artery Diseases	group	C10;C14	Disease or Syndrome	6	5
C0007279	Carotid Body Paraganglioma	disease	C04	Neoplastic Process	4	3
C0007282	Carotid Stenosis	disease	C10;C14	Disease or Syndrome	19	11
C0007286	Carpal Tunnel Syndrome	disease	C10;C26	Disease or Syndrome	46	20
C0007384	Cataplexy	disease	C10;F03	Disease or Syndrome	5	1
C0007398	Catatonia	disease	C23;C10;F01	Mental or Behavioral Dysfunction	2	2
C0007570	Celiac Disease	disease	C06;C18	Disease or Syndrome	263	70
C0007642	Cellulitis	phenotype	C23;C01;C17	Pathologic Function	1	0
C0007659	Cementoma	disease	C04	Neoplastic Process	1	1
C0007682	CNS disorder	group	C10	Disease or Syndrome	11	6
C0007684	Central Nervous System Infection	group	C01;C10	Disease or Syndrome	5	2
C0007758	Cerebellar Ataxia	phenotype	C23;C10	Disease or Syndrome	120	71
C0007760	Cerebellar Diseases	group	C10	Disease or Syndrome	4	4
C0007762	Cerebellar Neoplasms	group	C04;C10	Neoplastic Process	5	3
C0007766	Intracranial Aneurysm	disease	C10;C14	Disease or Syndrome	150	75
C0007775	Cerebral Atherosclerosis	disease	C10;C14	Disease or Syndrome	2	2
C0007780	Cerebral Embolism	disease	C10;C14	Disease or Syndrome	1	1
C0007785	Cerebral Infarction	disease	C23;C10;C14	Disease or Syndrome	123	70
C0007786	Brain Ischemia	disease	C10;C14	Disease or Syndrome	5	3
C0007787	Transient Ischemic Attack	disease	C10;C14	Disease or Syndrome	16	11
C0007789	Cerebral Palsy	disease	C10	Disease or Syndrome	69	34
C0007820	Cerebrovascular Disorders	group	C10;C14	Disease or Syndrome	56	47
C0007847	Malignant tumor of cervix	disease	C04;C13	Neoplastic Process	245	205
C0007859	Neck Pain	phenotype	C23	Sign or Symptom	3	3
C0007867	Cervix Diseases	group	C13	Disease or Syndrome	3	1
C0007868	Cervical dysplasia	disease	C04;C13	Disease or Syndrome	1	2
C0007873	Uterine Cervical Neoplasm	disease	C04;C13	Neoplastic Process	72	3
C0007930	Chagas Cardiomyopathy	disease	C01;C14	Disease or Syndrome	8	4
C0007933	Meibomian Cyst	disease	C04;C11	Disease or Syndrome	3	0
C0007959	Charcot-Marie-Tooth Disease	disease	C16;C10	Disease or Syndrome	136	110
C0007965	Chediak-Higashi Syndrome	disease	C16;C11;C20;C15	Disease or Syndrome	14	10
C0007971	Cheilitis	disease	C07	Disease or Syndrome	9	3
C0008029	Cherubism	disease	C16;C05;C07	Disease or Syndrome	6	9
C0008031	Chest Pain	phenotype	C23	Sign or Symptom	7	2
C0008055	Chikungunya Fever	disease	C01	Disease or Syndrome	10	3
C0008058	Chilblains	disease	C26	Disease or Syndrome	4	2
C0008060	child abuse behavior	phenotype		Mental or Behavioral Dysfunction	11	11
C0008073	Developmental Disabilities	group	F03	Mental or Behavioral Dysfunction	19	10
C0008074	Child Development Disorders, Pervasive	group	F03	Mental or Behavioral Dysfunction	379	8
C0008149	Chlamydia Infections	group	C13;C01;C12	Disease or Syndrome	10	2
C0008170	Chloramphenicol Resistance	phenotype		Organism Attribute	2	0
C0008297	Choanal Atresia	disease	C16;C08;C09	Congenital Abnormality	7	3
C0008301	Choking	phenotype	C08	Pathologic Function	1	0
C0008309	Bile duct adenoma	disease	C04	Neoplastic Process	2	1
C0008311	Cholangitis	disease	C06	Disease or Syndrome	1	1
C0008312	Primary biliary cirrhosis	disease	C23;C06	Disease or Syndrome	667	47
C0008313	Cholangitis, Sclerosing	disease	C06	Disease or Syndrome	276	6
C0008325	Cholecystitis	disease	C06	Disease or Syndrome	3	12
C0008350	Cholelithiasis	disease	C06	Disease or Syndrome	90	47
C0008354	Cholera	disease	C01	Disease or Syndrome	1	1
C0008370	Cholestasis	disease	C06	Disease or Syndrome	15	14
C0008372	Intrahepatic Cholestasis	disease	C06	Disease or Syndrome	3	2
C0008373	Cholesteatoma	disease	C17	Disease or Syndrome	1	0
C0008384	Cholesterol Ester Storage Disease	disease	C16;C18	Disease or Syndrome	5	6
C0008412	Choline Deficiency	disease	C18	Disease or Syndrome	4	1
C0008439	Chondritis	disease	C23;C17;C05	Disease or Syndrome	2	1
C0008445	Chondrodysplasia Punctata	disease	C05	Congenital Abnormality	1	1
C0008479	Chondrosarcoma	disease	C04	Neoplastic Process	8	5
C0008487	Chordoma	disease	C04	Neoplastic Process	3	5
C0008489	Chorea	phenotype	C23;C10	Disease or Syndrome	20	7
C0008495	Chorioamnionitis	phenotype	C16;C13	Disease or Syndrome	2	2
C0008497	Choriocarcinoma	disease	C04;C13	Neoplastic Process	2	1
C0008513	Chorioretinitis	disease	C11	Disease or Syndrome	3	3
C0008519	Ectopic Tissue	phenotype	C23	Pathologic Function	4	3
C0008525	Choroideremia	disease	C16;C11	Disease or Syndrome	15	10
C0008533	Hemophilia B	disease	C16;C15	Disease or Syndrome	125	45
C0008626	Congenital chromosomal disease	group	C16	Congenital Abnormality	47	28
C0008677	Bronchitis, Chronic	disease	C01;C08	Disease or Syndrome	9	1
C0008707	Chronic osteomyelitis	disease	C01;C05	Disease or Syndrome	12	2
C0008728	Eosinophilic granulomatosis with polyangiitis	disease	C20;C15;C14	Disease or Syndrome	3	3
C0008732	Chylous Ascites	disease	C06	Disease or Syndrome	1	0
C0008733	Chylothorax	disease	C08	Disease or Syndrome	2	0
C0008767	Cicatrization	phenotype	C23	Pathologic Function	3	0
C0008780	Ciliary Motility Disorders	group	C16;C08;C09	Disease or Syndrome	402	76
C0008810	Circadian Rhythms	phenotype		Organism Function	84	7
C0008924	Cleft upper lip	disease	C16;C07	Congenital Abnormality	282	44
C0008925	Cleft Palate	disease	C16;C05;C07	Congenital Abnormality	158	53
C0008928	Cleidocranial Dysplasia	disease	C16;C05	Disease or Syndrome	22	25
C0009024	Clonus	phenotype	C23;C10	Sign or Symptom	4	1
C0009080	Clubbed Fingers	disease	C05	Anatomical Abnormality	1	1
C0009081	Congenital clubfoot	disease	C16;C05	Congenital Abnormality	44	17
C0009086	Cluster B personality disorder	disease	F03	Mental or Behavioral Dysfunction	2	2
C0009087	Cluster C personality disorder	disease	F03	Mental or Behavioral Dysfunction	1	1
C0009088	Cluster Headache	disease	C10	Disease or Syndrome	13	10
C0009171	Cocaine Abuse	disease	C25;F03	Mental or Behavioral Dysfunction	3	3
C0009176	Cocaine intoxication	disease	C25;F03	Mental or Behavioral Dysfunction	1	1
C0009207	Cockayne Syndrome	disease	C16;C18;C05;C10	Disease or Syndrome	11	12
C0009241	Cognition Disorders	group	F03	Mental or Behavioral Dysfunction	47	38
C0009319	Colitis	disease	C06	Disease or Syndrome	15	11
C0009324	Ulcerative Colitis	disease	C06	Disease or Syndrome	827	314
C0009326	Collagen Diseases	group	C17	Disease or Syndrome	10	7
C0009363	Congenital ocular coloboma (disorder)	disease	C16;C11	Congenital Abnormality	21	11
C0009373	Colonic Diseases	group	C06	Disease or Syndrome	8	2
C0009375	Colonic Neoplasms	group	C06;C04	Neoplastic Process	45	26
C0009376	Colonic Polyps	phenotype	C23	Anatomical Abnormality	8	5
C0009398	Color vision defect	phenotype	C23;C11;C10	Disease or Syndrome	4	2
